"","Year","nominal","cpue","cpue.se","lci","uci"
"1",2004,280.825848610716,401.027147351402,0.0795785981598358,343.111364308004,468.718875683861
"2",2005,250.485292997916,381.001339820684,0.0782841526124187,326.805748333159,444.184417457591
"3",2006,205.910649857713,304.35495063103,0.0752784457521747,262.604439423819,352.743221618266
"4",2007,227.915193857577,328.674242633701,0.0724749218647641,285.150260005882,378.841519445253
"5",2008,193.890122654117,268.18600600191,0.077991481995693,230.169843706971,312.481134178561
"6",2009,169.73318719999,254.111818632215,0.0729273579204985,220.266192194722,293.158090786295
"7",2010,189.809357767617,284.751689249549,0.0762358239645409,245.229699361364,330.643167371785
"8",2011,124.679175725089,226.248536735185,0.0794206264481491,193.633982184535,264.356492581087
"9",2012,127.848923947402,212.388192397687,0.0882606682716876,178.649321522998,252.498827789558
"10",2013,193.941550033154,289.200614792207,0.0754682589905849,249.436114550487,335.304275192525
"11",2014,134.745367818464,273.622200061157,0.0753534926957981,236.052792571821,317.171034286867
"12",2015,189.226491440035,304.239852093765,0.0724902349273224,263.943619281948,350.688104731791
